ts pkg_count pkg_ms core_count core_ms mhz4 mhz60
1789361516.702895670 43451 95762 417 894 866 800
1789361518.731922232 43451 95762 417 894 1297 800
1789361520.757529731 43454 95768 417 894 977 801
1789361522.785142610 43454 95768 417 894 1290 800
1789361524.811945404 43455 95771 417 894 1316 772
1789361526.838051751 43458 95777 417 894 3052 800
1789361528.861702211 43458 95777 417 894 1797 800
1789361530.889438237 43458 95777 417 894 839 800
1789361532.916547992 43461 95781 417 894 894 800
1789361534.939272404 43464 95787 417 894 1896 1446
1789361536.969063228 43464 95787 417 894 800 3100
1789361538.993936826 43464 95787 417 894 1765 3100
1789361541.018313914 43464 95787 417 894 796 3098
1789361543.045863628 43464 95787 417 894 799 1894
1789361545.074934577 43464 95787 417 894 788 3100
1789361547.099688025 43464 95787 417 894 876 875
1789361549.127936868 43464 95787 417 894 1099 901
1789361551.152164855 43464 95787 417 894 900 2445
1789361553.176812591 43464 95787 417 894 3752 2690
1789361555.201169831 43464 95787 417 894 1289 854
1789361557.227917470 43464 95787 417 894 852 798
1789361559.255409159 43464 95787 417 894 2361 2489
1789361561.279123209 43464 95787 417 894 1399 800
1789361563.304879155 43464 95787 417 894 3076 2199
1789361565.329190482 43464 95787 417 894 1908 3233
1789361567.352393002 43464 95787 417 894 1063 800
1789361569.381493776 43464 95787 417 894 2434 3788
1789361571.409009620 43464 95787 417 894 938 1436
1789361573.433237080 43464 95787 417 894 809 2353
1789361575.457060910 43464 95787 417 894 800 800
1789361577.484896447 43464 95787 417 894 1000 800
1789361579.508722114 43464 95787 417 894 826 1355
1789361581.534679205 43464 95787 417 894 1009 1003
1789361583.566835646 43464 95787 417 894 800 800
1789361585.594454120 43464 95787 417 894 798 800
1789361587.618723569 43464 95787 417 894 2357 3100
1789361589.641938557 43464 95787 417 894 2241 3096
1789361591.668962034 43464 95787 417 894 907 800
1789361593.697394667 43464 95787 417 894 2064 3100
1789361595.724667070 43464 95787 417 894 1156 3100
1789361597.749400086 43464 95787 417 894 900 3100
1789361599.777164125 43464 95787 417 894 946 3100
1789361601.805217758 43464 95787 417 894 1499 800
1789361603.831679225 43464 95787 417 894 794 3099
1789361605.860545912 43464 95787 417 894 3359 800
1789361607.883969565 43464 95787 417 894 1039 800
1789361609.911469616 43464 95787 417 894 797 800
1789361611.938223424 43464 95787 417 894 1085 3100
1789361613.964945465 43464 95787 417 894 2300 3100
1789361615.991001401 43464 95787 417 894 799 3151
1789361618.016753499 43464 95787 417 894 2097 800
1789361620.041873346 43464 95787 417 894 799 800
1789361622.065445172 43464 95787 417 894 796 3100
1789361624.092999594 43464 95787 417 894 797 800
1789361626.121154616 43464 95787 417 894 1039 3100
1789361628.145219721 43464 95787 417 894 798 800
1789361630.172929608 43464 95787 417 894 799 3100
1789361632.199281500 43464 95787 417 894 799 800
1789361634.228638103 43464 95787 417 894 800 2878
1789361636.253368546 43464 95787 417 894 794 3100
